"species","lon","lat","institution","catalog","locality","country"
"Eucalyptus globulus",-78.451667,-0.161111,"QUSF","18676","Quito","EC"
"Eucalyptus globulus",-78.423055,-0.211389,"QUSF","3625","Tumbaco","EC"
"Eucalyptus globulus",-78.590278,-0.565556,"QUSF","12442","Machachi","EC"
"Eucalyptus globulus",-78.476389,-0.2232,"QUSF","21741","Quito","EC"
"Eucalyptus globulus",-76.639464,3.278847,"WCS Colombia (WCS)","","San Vicente - La Irlanda","CO"
"Eucalyptus globulus",-76.603055,3.320142,"WCS Colombia (WCS)","","Pico de Águila","CO"
"Eucalyptus globulus",-79.2,-4,"UNL","14930","","EC"
"Eucalyptus globulus",-79.229971,-3.93638,"HUTPL","13721","Motupe","EC"
"Eucalyptus globulus",-79.188362,-3.642307,"HUTPL","2428","Gurudel (Peña Blanca)","EC"
"Eucalyptus globulus",-79.19408,-4.075686,"HUTPL","4645","Dos Puentes","EC"
"Eucalyptus globulus",-79.391808,-4.210815,"HUTPL","1316","Purunuma","EC"
"Eucalyptus globulus",-79.198675,-4.037085,"JBRE","456","km 5 Av. Exodo de Yangana","EC"
"Eucalyptus globulus",-78.37583,-7.25444,"NY","102225929","Mun. Jesús: First few meters of trail Jesús-Chuco. Growing on pastures for shade.","PE"
"Eucalyptus globulus",-64.0975,-18.531667,"USZ","101494744","Huasacanada.","BO"
"Eucalyptus globulus",-68.069444,-16.538055,"NY","102878716","Extreme SE of city of La Paz, Cota Cota, campus of Universidad Mayor de San Andrés, around the Jardín Botánico.","BO"
"Eucalyptus globulus",-64.45,-18.03333,"NY","101863145","Within the """"Flora de la Region del Parque Nacional Amboro"""", but above the 700 m contour.","BO"
"Eucalyptus globulus",-78.28333,0.2,"AAU","101496353","5 km along the road from Otavalo towards Laguna Mojanda. Road banks.","EC"
"Eucalyptus globulus",-78.11666,0.35,"","1746948","Mercado Amazonas. Plantas Medicinales. Bosque seco Montano Bajo. Informante: Consuelo Carvajal.","EC"
"Eucalyptus globulus",-78.71666,-1.88333,"","1695028","Parroquia Columbe. Bosque seco Montano Bajo. Informante: C. Morocho.","EC"
"Eucalyptus globulus",-79.06666,-1.61666,"","1709067","Parroquia Julio B. Moreno. Bosque Húmedo Montano Bajo. Informantes: M. Tela, W. Ledesma & C. Ledesma.","EC"
"Eucalyptus globulus",-78.11666,-0.35,"","1734337","Bosque seco Montano Bajo. Mercado Amazonas. Informante: Dolores Erazo.","EC"
"Eucalyptus globulus",-78.5,-0.08333,"","1698692","Parrorquia Calacali. Reserva Geobotánica del Pululachua. Bosque seco Montano Bajo. Informante: F. Santillán. Colecions en area cultivado. Caldera del Volcán.","EC"
"Eucalyptus globulus",-53.23477,3.92404,"","","","GF"
"Eucalyptus globulus",-69.072528,-14.82075,"MO","102566694","Área Natural de Manejo Integrado Apolobamba, Pelechuco.","BO"
"Eucalyptus globulus",-79.03083,-1.5875,"MO","101707914","Parroquia Julio Moreno (Catahuan Grande). Bosque muy húmedo Montano.","EC"
"Eucalyptus globulus",-76.55899,3.54271,"Fundación Ambiental DapaViva (DapaViva)","","Vereda Rincón Dapa, Reserva Forestal Protectora Nacional La Elvira - Aguacatal - Dapa Carisucio","CO"
"Eucalyptus globulus",-74.060647,4.612848,"Jardín Botánico de Bogotá José Celestino Mutis (JBB)","","Parque Nacional Enrique Olaya Herrera Etapa II","CO"
"Eucalyptus globulus",-68.07478,-16.545051,"","","","BO"
"Eucalyptus globulus",-77.504142,-9.482306,"","","","PE"
"Eucalyptus globulus",-77.516828,-9.595703,"","","","PE"
"Eucalyptus globulus",-77.052494,-12.110822,"","","","PE"
"Eucalyptus globulus",-64.308071,-19.314474,"","","","BO"
"Eucalyptus globulus",-77.057339,-11.900627,"","","","PE"
"Eucalyptus globulus",-75.535828,6.327461,"Empresas Públicas de Medellín E.S.P. (EPM)","","","CO"
"Eucalyptus globulus",-75.526211,6.243086,"Empresas Públicas de Medellín E.S.P. (EPM)","","","CO"
"Eucalyptus globulus",-75.5642,6.149908,"Empresas Públicas de Medellín E.S.P. (EPM)","","","CO"
"Eucalyptus globulus",-75.618402,6.137258,"Empresas Públicas de Medellín E.S.P. (EPM)","","","CO"
"Eucalyptus globulus",-75.543015,6.198543,"Empresas Públicas de Medellín E.S.P. (EPM)","","","CO"
"Eucalyptus globulus",-75.529899,6.254624,"Empresas Públicas de Medellín E.S.P. (EPM)","","","CO"
"Eucalyptus globulus",-89.605611,-0.906555,"CDF","35963","Vivienda del barrio Fragatas (FGf07). Pto. Baquerizo Moreno.","EC"
"Eucalyptus globulus",-71.3,-33.05,"PUCV","angio:9233","Quebrada Escobares","CL"
"Eucalyptus globulus",-71.433,-33.05,"PUCV","angio:9234","Quilpué","CL"
"Eucalyptus globulus",-75.339637,6.425274,"Inerco Consultoría Colombia Ltda","","Barrio San Rafael hasta vereda la Tolda","CO"
"Eucalyptus globulus",-75.3173,5.978241,"Empresas Públicas de Medellín E.S.P. (EPM)","","Mazorcal","CO"
"Eucalyptus globulus",-75.189745,6.029045,"Empresas Públicas de Medellín E.S.P. (EPM)","","San José","CO"
"Eucalyptus globulus",-75.362253,5.949417,"Empresas Públicas de Medellín E.S.P. (EPM)","","Quebrada Negra","CO"
"Eucalyptus globulus",-75.41455,5.926389,"Empresas Públicas de Medellín E.S.P. (EPM)","","Colmenas","CO"
"Eucalyptus globulus",-75.325119,5.710231,"Empresas Públicas de Medellín E.S.P. (EPM)","","Cerca Viva","CO"
"Eucalyptus globulus",-74.012722,4.741083,"SDA - Secretaría Distrital de Ambiente","","Usaquén Parque Ecológico de Montaña Soratama","CO"
"Eucalyptus globulus",-74.105278,4.553222,"SDA - Secretaría Distrital de Ambiente","","San Cristobal Sur Parque Ecológico de Montaña Serranía El Zuque","CO"
"Eucalyptus globulus",-74.096861,4.528472,"SDA - Secretaría Distrital de Ambiente","","San Cristobal Sur Parque Ecológico de Montaña Serranía El Zuque","CO"
"Eucalyptus globulus",-74.04225,4.808917,"SDA - Secretaría Distrital de Ambiente","","Usaquen Reserva Distrital de Humedal Torca y Guaymaral","CO"
"Eucalyptus globulus",-74.213861,4.623806,"SDA - Secretaría Distrital de Ambiente","","Bosa Reserva Distrital de Humedal La Isla","CO"
"Eucalyptus globulus",-74.136778,4.723,"SDA - Secretaría Distrital de Ambiente","","Engativá Reserva Distrital de Humedal Jaboque","CO"
"Eucalyptus globulus",-74.076833,4.703528,"SDA - Secretaría Distrital de Ambiente","","Suba Reserva Distrital de Humedal Córdoba","CO"
"Eucalyptus globulus",-77.263889,1.275194,"Asociación GAICA (GAICA)","","Corregimiento Morasurco, Parque Tecnológico Ambiental Antanas","CO"
"Eucalyptus globulus",-74.100707,4.761672,"Jardín Botanico de Bogotá José Celestino Mutis (JBB)","","Humedal La Conejera","CO"
"Eucalyptus globulus",-74.071333,4.630533,"Jardín Botánico de Bogotá José Celestino Mutis (JBB)","","Teusaquillo","CO"
"Eucalyptus globulus",-74.117983,4.628617,"Jardín Botánico de Bogotá José Celestino Mutis (JBB)","","Puente Aranda","CO"
"Eucalyptus globulus",-77.81944,-9.04528,"SD","","In vicinity of town of Caraz.","PE"
"Eucalyptus globulus",-74.23599,4.68935,"Universidad de La Salle (La Salle)","10347","","CO"
"Eucalyptus globulus",-73.839759,4.977937,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus globulus",-73.864053,4.912384,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus globulus",-73.811074,4.988409,"Grupo Energía de Bogotá (GBE)","","Sesquilé","CO"
"Eucalyptus globulus",-73.863483,4.919763,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus globulus",-73.822744,5.02556,"Grupo Energía de Bogotá (GBE)","","Sesquilé","CO"
"Eucalyptus globulus",-73.883026,4.901168,"Grupo Energía de Bogotá (GBE)","","Guasca","CO"
"Eucalyptus globulus",-73.830783,4.942016,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus globulus",-73.879312,4.930674,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus globulus",-75.38,6.155,"Universidad Católica de Oriente (UCO)","3011","El Capiro","CO"
"Eucalyptus globulus",-75.366667,6.15,"Universidad Católica de Oriente (UCO)","3010","Vereda Las Cimarronas","CO"
"Eucalyptus globulus",-73.729181,5.319073,"Biótica Consultores LTDA","","Vereda Ramada florez","CO"
"Eucalyptus globulus",-67.22,-16.98,"NSW","NSW370495","CULTIVATED - La Paz: Inquisivi Province - 'Quime Cliff Garden' - cliffs 0.5 km SE of Jardin Botanico de Quime, and part of the property designated 'Quime Cliff Garden'.","BO"
"Eucalyptus globulus",-74.084431,4.615289,"Pontificia Universidad Javeriana (PUJ)","HPUJ:27729","Plaza de mercado de Paloquemao","CO"
"Eucalyptus globulus",-72.958333,4.095833,"Pontificia Universidad Javeriana (PUJ)","HPUJ:16172","","CO"
"Eucalyptus globulus",-70.028607,-15.838185,"","","","PE"
"Eucalyptus globulus",-76.754514,-11.972746,"","","","PE"
"Eucalyptus globulus",-77.529,-9.515696,"","","","PE"
"Eucalyptus globulus",-77.804167,-9.038889,"DAV","","In vicinity of town of Caraz;","PE"
"Eucalyptus globulus",-41.7825,-2.915,"UFPI","32066","Bairro: São José, Rua 7 de setembro","BR"
"Eucalyptus globulus",-68.127472,-16.512833,"naturgucker","-2005234249","La Paz - Stadtgebiet","BO"
"Eucalyptus globulus",-67.734413,-16.209038,"naturgucker","-2051221523","Coroico und Umgebung","BO"
"Eucalyptus globulus",-68.15506,-16.488106,"naturgucker","-618726770","La Paz - Stadtgebiet","BO"
"Eucalyptus globulus",-73.033333,-36.816667,"MEL","MEL 1607262A","Concepcion (Chile) - Cerro La Pólvora.","CL"
"Eucalyptus globulus",-44.8528,-22.6644,"IAC","57177","Fazenda Essência da Bocaína.","BR"
"Eucalyptus globulus",-73.548582,4.770468,"Corpoguavio","Flora5404","RFPR Concepción","CO"
"Eucalyptus globulus",-71.59241,-33.06105,"PBUCH","2019","","CL"
"Eucalyptus globulus",-65.873889,-17.318333,"MO","101038658","Along highway from Villa Tunari to Cochabamba, 13.9 km NE (down) from the Cumbre Huancanqui. Above the natural tree line, dry and grazed grassland or shrubland with many small fields.","BO"
"Eucalyptus globulus",-74.027569,4.65598,"Jardín Botánico José Celestino Mutis (JBBJCM)","","","CO"
"Eucalyptus globulus",-64.188889,-31.437222,"CORD","CORD00058724","Ciudad Universitaria","AR"
"Eucalyptus globulus",-74.04114,4.80608,"Jardín Botánico José Celestino Mutis (JBBJCM)","JBB19773","Localidad de Usaquén, Humedal Torca-Guaymaral","CO"
"Eucalyptus globulus",-71.4121,-33.5033,"GEOB","C001-4555","Los Morros Bosque","CL"
"Eucalyptus globulus",-71.1476,-33.2057,"GEOB","C066-5687","Fundo Cerro Viejo Colliguay","CL"
"Eucalyptus globulus",-71.4545,-33.5155,"GEOB","C002-4577","Los Morros Bosque","CL"
"Eucalyptus globulus",-70.7515,-33.5921,"GEOB","C028-5055","Los Retamos","CL"
"Eucalyptus globulus",-70.3212,-33.3099,"GEOB","B104-3933","Santuario de la Naturaleza Yerba Loca","CL"
"Eucalyptus globulus",-71.4291,-33.255,"GEOB","C022-4969","Las Casas Lo Vásquez","CL"
"Eucalyptus globulus",-71.3573,-33.4504,"GEOB","A032-0745","Fundo Corralillos","CL"
"Eucalyptus globulus",-56.871656,-15.575819,"UFMT","44262","Zona urbana de Cuiabá.","BR"
"Eucalyptus globulus",-74.54282,5.05367,"Fundación Ecotrópico Colombia","","Veredas San Isidro y La Esmeralda, finca La Esmeralda","CO"
"Eucalyptus globulus",-72.5333,-35.7167,"MA","MA-01-00776559","VII Región. Prov. Talca. Reserva Federico Albert","CL"
"Eucalyptus globulus",-78.08,-8.33,"NY","579798","Trujillo-Huamachuco road, about 10 km west of Huamachuco.","PE"
"Eucalyptus globulus",-73.925,4.745,"ENCB-IPN","NO DISPONIBLE","Bogotá, jardines y parques","CO"
"Eucalyptus globulus",-54.4067,-28.2878,"LEB","72720-1","Santiago. Burití","BR"
"Eucalyptus globulus",-47.5614,-22.4114,"IAC","14089","Horto Florestal Comp. Paulista","BR"
"Eucalyptus globulus",-74.146869,4.680486,"SDA","106","Humedal Santa María del Lago","CO"
"Eucalyptus globulus",-76.929443,1.205358,"Universidad Nacional de Colombia (UNAL)","139733","Valle de Sibundoy, 1.5 km W Sibundoy.","CO"
"Eucalyptus globulus",-73.644444,5.477222,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB-94985","Vereda Torres, Valero y Mirque. Sector sur oriental de Ráquira. En el área conocida como reserva de Chaute","CO"
"Eucalyptus globulus",-75.482056,5.305167,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB-71441","Vereda Chambery, finca Villa Ofelia","CO"
"Eucalyptus globulus",-75.495525,5.055659,"Universidad de Caldas (UCALDAS)","18523","Universidad de Caldas, Jardín Botánico","CO"
"Eucalyptus globulus",-75.501029,5.065049,"Universidad de Caldas (UCALDAS)","16555","Comuna Estación (Comuna 4)","CO"
"Eucalyptus globulus",-75.449901,5.03216,"Universidad de Caldas (UCALDAS)","16559","Comuna Tesorito (Comuna 7)","CO"
"Eucalyptus globulus",-75.484726,5.088339,"Universidad de Caldas (UCALDAS)","6509","Sin datos","CO"
"Eucalyptus globulus",-42.203889,-22.481667,"Pontifícia Universidade Católica do Rio de Janeiro","7373","Bairro Centro, Horta Medicinal","BR"
"Eucalyptus globulus",-66.880278,10.541667,"MO","100910383","Parroquia Macuto. Parque Nacional Waraira Repano (El Ávila), vertiente norte. Sectores Estación Ávila-Galipán-San Isidro-Estación La Hacienda (área de las futuras torres 29 a 39).","VE"
"Eucalyptus globulus",-65.55,-17.48333,"MO","3394549","3.3 km NW of School at Kayarani, on highway form Cochabamba to Comarapa.","BO"
"Eucalyptus globulus",-72.2,-35.96666,"MO","308675","VIIth Region. Estación Experimental Cauquenes (Mean annual precipitation 695 mm). Subhumid region with mediterranean climate. Heavily disturbed.","CL"
"Eucalyptus globulus",-78.58333,-0.45,"MO","308544","Canton Mejía. Aloag. Bosque muy húmedo Montano.","EC"
"Eucalyptus globulus",-78.18333,0.41666,"MO","308457","URCUQUI: Bosque Seco Montano Bajo. Informantes: Heriberto Vallejo, J. Landázuri.","EC"
"Eucalyptus globulus",-78.61666,-0.71666,"MO","308129","Parroquia Pastocalle. Bosque húmedo Montano. Plantas útiles. Informante: Manuel Analuiza.","EC"
"Eucalyptus globulus",-68.11666,-16.5,"MO","308070","La Paz, slopes above Ave. Libertador near Ave. de La Poeta.","BO"
"Eucalyptus globulus",-78.25,-7.83333,"MO","307912","Trujillo-Huamachuco road, about 10km W of Huamachuco. Ravines and hedgerows in agricultural area, the natural vegetation heavily disturbed by centuries of civilization.","PE"
"Eucalyptus globulus",-79.95333,-2.01944,"MO","3005351","Capeira. Km 21 on the Guayaquil to Daule road. Tropical Dry Forest.","EC"
"Eucalyptus globulus",-78.11666,-1.35,"CHEP","2776646","Riobamba, zona urbana.","EC"
"Eucalyptus globulus",-78.2,0.35,"MO","1762149","Mercado Amazonas de Ibarra. Estudio de plantas medicinales. Informante: Sra. Isabel Morocho.","EC"
"Eucalyptus globulus",-79.08333,-3.38333,"MO","1715330","Parroquia Cochapata. Bosque Húmedo Montano Bajo. Informantes: M. Sn. Martin, R. Rodriquez, R. Putiño y R. Oña.","EC"
"Eucalyptus globulus",-78.80833,-2.25666,"MO","1712701","Parroquia Pumallacta. Bosque Seco Montano Bajo. Informantes: I. Molina & N. Brito.","EC"
"Eucalyptus globulus",-78.5,-1.50861,"MO","1698654","San José de Chazo. Estepa espinosa Montano Bajo. Informantes: D. Olmedo & N. Carrasca.","EC"
"Eucalyptus globulus",-78.83333,-2.71666,"MO","1695187","Panavaura Sn: Francisco de Sogeo. Informantes: P. Cajamarca, P. Betancourt, K. Lema & B. Traquizu.","EC"
"Eucalyptus globulus",-78.38333,0.2,"QCNE","1485809","Tabacundo. Quebrada Verdetola, km 2.8.","EC"
"Eucalyptus globulus",-78.88333,-2.5,"MO","1208221","Ingapirca Parish. Ingapirca. Highly disturbed Montane Humid Forest life zone.","EC"
"Eucalyptus globulus",-79.5,-0.25,"MO","1191918","Parque La Alameda, Quito. Bosque humedo montano. Suelo cultivado. Proyecto arboles y arbusto de parques y avenidas de quito; Escuela de biologia, Universidad Central del Ecuador.","EC"
"Eucalyptus globulus",-77.891567,-6.977367,"MO","100800776","Distrito Uchumarca. Maraypata.","PE"
"Eucalyptus globulus",-79.016667,-8.116667,"MO","100401222","Purchased in the Mercado Mayorista in Trujillo at stall 057E, ""Blanquita"".","PE"
"Eucalyptus globulus",-57,-25,"G","G-G-153976/2","Paraguay - Cultivatus et quasi sponte","PY"
"Eucalyptus globulus",-77.27958,1.20858,"Universidad de Nariño (UDENAR)","9630","Jardines de la ciudad","CO"
"Eucalyptus globulus",-51.717222,-17.923056,"Universidade Federal de Jataí","4152","UFG, Campus Jatobá.","BR"
"Eucalyptus globulus",-46.1447,-22.7553,"IAC","53777","","BR"
"Eucalyptus globulus",-34.9575,-7.26,"UFPB","51085","Assentamento Tambaba, Mata de tabuleiro","BR"
"Eucalyptus globulus",-35.881111,-7.230833,"UFPB","1918","Hôrto de Ipouarana","BR"
"Eucalyptus globulus",-44.209467,-2.5747,"UEMA","1451","Universidade Estadual do Maranhão - Campus Paulo VI","BR"
"Eucalyptus globulus",-44.282769,-2.483981,"UEMA","991","Renascenca","BR"
"Eucalyptus globulus",-38.483333,-12.5,"Universidade Federal da Bahia","39616","Recôncavo, Ponto 2, ao lado da Bacel","BR"
